day,hour,station,parameter,value
1,1,28079004,01,8
1,1,28079008,01,4
1,1,28079017,01,7
1,1,28079018,01,5
1,1,28079024,01,2
1,1,28079035,01,7
1,1,28079036,01,9
1,1,28079038,01,7
1,1,28079040,01,7
1,1,28079057,01,4
1,1,28079004,06,1.3
1,1,28079008,06,0.4
1,1,28079016,06,0.9
1,1,28079018,06,0.7
1,1,28079024,06,0.3
1,1,28079035,06,0.6
1,1,28079036,06,0.7
1,1,28079039,06,0.6
1,1,28079056,06,0.8
1,1,28079057,06,0.4
1,1,28079004,07,177
1,1,28079008,07,16
1,1,28079011,07,9
1,1,28079016,07,30
1,1,28079017,07,138
1,1,28079018,07,32
1,1,28079024,07,1
1,1,28079027,07,9
1,1,28079035,07,18
1,1,28079036,07,46
1,1,28079038,07,18
1,1,28079039,07,10
1,1,28079040,07,33
1,1,28079047,07,63
1,1,28079048,07,1
1,1,28079049,07,1
1,1,28079050,07,29
1,1,28079054,07,79
1,1,28079055,07,40
1,1,28079056,07,68
1,1,28079057,07,4
1,1,28079058,07,2
1,1,28079059,07,5
1,1,28079060,07,2
1,1,28079004,08,116
1,1,28079008,08,97
1,1,28079011,08,79
1,1,28079016,08,122
1,1,28079017,08,123
1,1,28079018,08,101
1,1,28079024,08,48
1,1,28079027,08,73
1,1,28079035,08,94
1,1,28079036,08,119
1,1,28079038,08,82
1,1,28079039,08,95
1,1,28079040,08,125
1,1,28079047,08,122
1,1,28079048,08,58
1,1,28079049,08,49
1,1,28079050,08,97
1,1,28079054,08,119
1,1,28079055,08,118
1,1,28079056,08,120
1,1,28079057,08,100
1,1,28079058,08,26
1,1,28079059,08,68
1,1,28079060,08,82
1,1,28079008,09,24
1,1,28079024,09,17
1,1,28079038,09,21
1,1,28079047,09,30
1,1,28079048,09,18
1,1,28079050,09,9
1,1,28079008,10,51
1,1,28079018,10,38
1,1,28079024,10,27
1,1,28079036,10,62
1,1,28079038,10,29
1,1,28079040,10,44
1,1,28079047,10,47
1,1,28079048,10,32
1,1,28079050,10,32
1,1,28079055,10,32
1,1,28079057,10,39
1,1,28079060,10,27
1,1,28079008,14,20
1,1,28079016,14,8
1,1,28079017,14,4
1,1,28079018,14,2
1,1,28079024,14,40
1,1,28079027,14,25
1,1,28079035,14,20
1,1,28079039,14,21
1,1,28079049,14,36
1,1,28079054,14,5
1,1,28079056,14,9
1,1,28079058,14,43
1,1,28079059,14,15
1,1,28079060,14,38
1,1,28079008,20,5.8
1,1,28079011,20,6.5
1,1,28079018,20,6.7
1,1,28079024,20,1.4
1,1,28079038,20,2.6
1,1,28079055,20,3.7
1,1,28079008,30,1.7
1,1,28079011,30,2.7
1,1,28079018,30,0.8
1,1,28079024,30,0.6
1,1,28079038,30,0.2
1,1,28079055,30,1
1,1,28079008,35,1.8
1,1,28079011,35,3.1
1,1,28079018,35,0.5
1,1,28079024,35,0.5
1,1,28079038,35,0.2
1,1,28079055,35,0.7
1,1,28079008,42,1.35
1,1,28079024,42,1.29
1,1,28079027,42,1.36
1,1,28079055,42,1.41
1,1,28079008,44,0.25
1,1,28079024,44,0.19
1,1,28079027,44,0.19
1,1,28079055,44,0.14
1,10,28079004,01,5
1,10,28079008,01,2
1,10,28079017,01,3
1,10,28079018,01,5
1,10,28079024,01,2
1,10,28079035,01,4
1,10,28079036,01,14
1,10,28079038,01,5
1,10,28079040,01,2
1,10,28079057,01,7
1,10,28079004,06,0.7
1,10,28079008,06,0.4
1,10,28079016,06,0.5
1,10,28079018,06,0.7
1,10,28079024,06,0.3
1,10,28079035,06,0.3
1,10,28079036,06,0.5
1,10,28079039,06,0.4
1,10,28079056,06,0.5
1,10,28079057,06,0.4
1,10,28079004,07,96
1,10,28079008,07,13
1,10,28079011,07,21
1,10,28079016,07,35
1,10,28079017,07,14
1,10,28079018,07,42
1,10,28079024,07,12
1,10,28079027,07,30
1,10,28079035,07,15
1,10,28079036,07,26
1,10,28079038,07,18
1,10,28079039,07,26
1,10,28079040,07,10
1,10,28079047,07,24
1,10,28079048,07,15
1,10,28079049,07,5
1,10,28079050,07,13
1,10,28079054,07,11
1,10,28079055,07,27
1,10,28079056,07,46
1,10,28079057,07,20
1,10,28079058,07,5
1,10,28079059,07,38
