"","date","SO2_1","CO_6","NO_7","NO2_8","PM2.5_9","PM10_10","O3_14","TOL_20","BEN_30","EBE_35","TCH_42","NMHC_44","temp_avg","temp_max","temp_min","precipitation","humidity","wind_avg_speed"
"1",2011-01-01,10.7125,0.3725,16.5381944444444,41.5104166666667,9.36363636363636,13.8315789473684,20.4732142857143,1.66388888888889,0.765277777777778,0.595138888888889,1.43216666666667,0.186583333333333,8.3,13,3,0,84,5.2
"73",2011-01-02,11.9333333333333,0.452916666666667,28.8229166666667,48.4739583333333,9.07638888888889,13.65625,15.5625,2.13888888888889,0.86875,0.721527777777778,1.62483333333333,0.207666666666667,8.6,13,4,0,81,5.4
"145",2011-01-03,11.9121338912134,0.5325,71.1423611111111,63.6336805555556,11.9444444444444,21.5555555555556,9.44642857142857,3.56458333333333,1.17569444444444,1.04722222222222,1.62125,0.24575,4.2,9.4,-1.6,0,86,3.5
"217",2011-01-04,8.84166666666667,0.367083333333333,27.8263888888889,46.2951388888889,9.40277777777778,14.3576388888889,13.3422619047619,2.39513888888889,0.856944444444444,0.788194444444444,1.45641666666667,0.195583333333333,6.5,8,4.1,0,93,6.3
"289",2011-01-05,9.50840336134454,0.395,36.0295138888889,51.5173611111111,10.5138888888889,15.5972222222222,10.8839285714286,3.19305555555556,0.85625,1.07361111111111,1.51583333333333,0.196083333333333,8.9,10,6.3,0,90,10.4
"361",2011-01-06,8.63333333333333,0.285416666666667,11.1927083333333,35.328125,6.97916666666667,9.75347222222222,23.4196428571429,1.71319444444444,0.526388888888889,0.604166666666667,1.47291666666667,0.164666666666667,12.2,15,8.9,0.51,87,15.7
"433",2011-01-07,8.7375,0.311666666666667,14.0572916666667,41.9010416666667,14.3611111111111,28.0868055555556,28.0327380952381,1.8125,0.583333333333333,0.611805555555556,1.39808333333333,0.170166666666667,10.9,13,8.7,1.02,81,15.6
"505",2011-01-08,8.33333333333333,0.314583333333333,10.5798611111111,40.8315972222222,6.78472222222222,11.7222222222222,34.0982142857143,1.49861111111111,0.534027777777778,0.529861111111111,1.39675,0.166333333333333,9.8,13,7.6,1.02,88,14.3
"577",2011-01-09,8.7875,0.3375,14.6371527777778,42.5486111111111,6.29861111111111,8.49305555555556,36.2238805970149,1.31875,0.607638888888889,0.505555555555556,1.35541666666667,0.167166666666667,8.4,11,6.6,10.92,92,6.5
"649",2011-01-10,8.84583333333333,0.36875,27.7465277777778,47,7.27777777777778,12.2048611111111,21.0149253731343,1.98472222222222,0.764583333333333,0.672916666666667,1.39958333333333,0.188666666666667,6.9,8.3,5.2,3.81,91,7.4
