date,temp_avg,temp_max,temp_min,precipitation,humidity,wind_avg_speed
01-01-2011,8.3,13,3,0,84,5.2
02-01-2011,8.6,13,4,0,81,5.4
03-01-2011,4.2,9.4,-1.6,0,86,3.5
04-01-2011,6.5,8,4.1,0,93,6.3
05-01-2011,8.9,10,6.3,0,90,10.4
06-01-2011,12.2,15,8.9,0.51,87,15.7
07-01-2011,10.9,13,8.7,1.02,81,15.6
08-01-2011,9.8,13,7.6,1.02,88,14.3
09-01-2011,8.4,11,6.6,10.92,92,6.5
10-01-2011,6.9,8.3,5.2,3.81,91,7.4
11-01-2011,11.3,15,5.7,1.78,77,15.4
12-01-2011,9.1,16,3.1,0,83,3.1
13-01-2011,6.6,13.3,1.9,0,92,3.5
14-01-2011,6.9,15.3,0.7,0,84,5
15-01-2011,6.8,15.8,0.3,0,81,3.7
16-01-2011,6.3,14.8,0,0,83,4.8
17-01-2011,4.3,6,0.9,0,97,2.6
18-01-2011,6.9,12,3,0,91,2.6
19-01-2011,6.8,11,3.6,0,89,2.8
20-01-2011,6.7,12.1,2.2,0,77,6.3
21-01-2011,2.7,7,-2,0,32,15
22-01-2011,0.9,7.2,-4,0,35,11.9
23-01-2011,-0.2,5.4,-4.1,0,45,9.1
24-01-2011,0.5,8.8,-6,0,49,5
25-01-2011,-0.2,8.7,-6,0,61,5.2
26-01-2011,0.6,9.4,-5.1,0,73,5
27-01-2011,2.7,6,-1.2,0,90,5.9
28-01-2011,5.6,9.7,3.3,2.29,88,12.4
29-01-2011,5,9,1.4,4.06,83,7.8
30-01-2011,3,6.9,0,0,89,3.5
31-01-2011,3.5,8,-0.2,0.76,68,8.7
01-02-2011,2.7,10,-3,0,66,9.3
02-02-2011,5.1,13,-2,0,55,8.1
03-02-2011,4.4,14.6,-3,0,63,4.8
04-02-2011,5.6,16,-2,0,66,4.3
05-02-2011,6.7,19.5,-2,0,57,3
06-02-2011,7.3,19.3,-1,0,57,4.3
07-02-2011,7.1,18.8,-1.2,0,55,3.9
08-02-2011,5.9,16,-2,0,59,4.8
09-02-2011,5.8,15,-1.4,0,70,4.8
10-02-2011,6.3,15.6,-1.3,0,67,4.8
11-02-2011,6.2,14.3,-1,0,69,6.3
12-02-2011,6.7,14.8,-1,0,70,6.9
13-02-2011,6.7,12,0,0,76,14.1
14-02-2011,6.6,9.1,3.1,0.76,61,22.4
15-02-2011,6.6,10,4.8,0.25,89,12
16-02-2011,5.5,8.7,2,4.83,85,21.1
17-02-2011,6.7,10.5,3.5,5.08,70,23.7
18-02-2011,6.7,13.2,-0.5,0.25,73,7.6
19-02-2011,8.1,10,5.7,0,92,7
20-02-2011,9.4,15,6,0,79,8.3
21-02-2011,10.3,13.4,4.8,0.25,63,18.3
22-02-2011,13.5,16,9.2,0,59,19.6
23-02-2011,12.2,19.3,5.4,0,59,4.6
24-02-2011,11.2,20,2.7,0,62,6.5
25-02-2011,11.6,21.9,2,0,57,4.1
26-02-2011,12.1,21,3.6,0,58,5.6
27-02-2011,9.3,12.8,5.2,0,50,19.3
28-02-2011,5.7,10.7,-0.3,0,53,24.1
01-03-2011,5.2,10,1.3,0.25,54,21.9
02-03-2011,5.7,8.1,3,0,59,15.7
03-03-2011,2.7,8.2,-1.8,0,73,8.3
04-03-2011,3,6,0.5,0.51,92,8
05-03-2011,6.8,12.2,1.6,8.89,73,5.6
06-03-2011,6.5,14.3,-0.6,0,70,5.6
07-03-2011,10.3,17.5,3.8,0,55,9.3
08-03-2011,9.6,14.4,3.9,0,61,9.3
09-03-2011,10.6,15.1,6,0,66,8.1
10-03-2011,9.7,18.2,1.1,0,57,6.1
11-03-2011,6.8,12,2.3,0,82,7.2
12-03-2011,9.4,14,5.7,14.22,82,7.6
13-03-2011,9.9,13.8,5.8,0,80,10.2
14-03-2011,10.9,15,5.5,2.29,83,15.4
15-03-2011,10.4,13,8,3.81,74,17.2
16-03-2011,9.8,12,7.6,0,61,18.5
17-03-2011,11.4,17,6,0.25,63,14.6
18-03-2011,11.3,21.1,2,0,59,5.4
19-03-2011,12.4,21.8,3,0,51,5.4
20-03-2011,12.3,21.4,2,0,41,5
21-03-2011,10.8,16.8,3.2,0,58,8.1
22-03-2011,10.2,14.3,6,0,54,11.3
23-03-2011,9.2,13,4.8,0.76,67,12.6
24-03-2011,9.7,12,7.5,1.52,83,8
25-03-2011,11.6,15,8.7,0.25,79,6.7
26-03-2011,13.2,18.2,8,1.02,73,11.1
27-03-2011,10.4,14.4,6.8,3.3,81,18.9
28-03-2011,11,14.9,6,1.52,68,13.9
29-03-2011,12.8,17.6,7,0.25,62,10.4
30-03-2011,14.8,19.6,9.8,0,61,12
31-03-2011,13.9,22,5.3,0,64,5
01-04-2011,16.1,25.7,6.6,0,58,6.7
02-04-2011,14.9,21,8.4,0,64,6.3
03-04-2011,13.4,19,10,0,81,9.3
04-04-2011,15.9,22.1,10.5,6.86,74,5.6
05-04-2011,17,25.7,9,0,61,4.4
06-04-2011,17.4,25.5,9.4,0,56,8.5
07-04-2011,18.4,27.9,9.3,0,50,4.6
08-04-2011,19,29,9,0,47,6.1
09-04-2011,18.9,29,9,0,48,8.9
10-04-2011,17.5,24.7,9.5,0,57,9.1
11-04-2011,16.1,23.4,9.1,0,53,14.4
12-04-2011,16.4,24.5,9,0,46,8.7
13-04-2011,17.5,26,7,0,43,7.2
14-04-2011,17.5,27,6.9,0,43,8.7
15-04-2011,15.6,22.1,8.5,0,36,10.9
16-04-2011,14.8,21.2,9.6,0,56,9.8
17-04-2011,15.2,22.5,6.4,0,49,7
18-04-2011,15.3,22.5,5.6,0,42,9.3
19-04-2011,15.9,21.4,10.7,0,58,10.6
20-04-2011,15.5,20.9,12.2,1.52,76,12.4
21-04-2011,14,20.3,10,4.83,80,10.7
22-04-2011,11,15.1,8.6,27.94,86,10.9
23-04-2011,12.1,17,8.9,1.78,80,3.9
24-04-2011,14.2,19.6,8.7,1.02,67,12
25-04-2011,15.2,21,9.4,0,65,12.6
26-04-2011,15.2,20.7,9.9,1.27,61,10.7
27-04-2011,16.1,24,7.8,0,53,7
28-04-2011,17.1,24,8,0,49,8.7
29-04-2011,14.6,20.4,9.3,0,67,9.4
30-04-2011,13.4,16.2,10.9,0,79,11.7
01-05-2011,15.1,20.4,11,1.02,67,10.6
02-05-2011,15.7,22.6,10.5,4.06,73,6.9
03-05-2011,16.6,22.5,9.3,0,64,10.7
04-05-2011,16.7,22.8,9,0,50,8.9
05-05-2011,16.3,23.9,7.5,0,54,6.3
06-05-2011,18.5,23,13.7,0,62,16.7
07-05-2011,15,18,12,0,72,15.7
08-05-2011,15.4,21.3,7.2,17.02,64,8.3
09-05-2011,17.9,27,8.3,0,58,5.2
10-05-2011,19.3,26.5,10.2,0,55,7.2
11-05-2011,20,27.4,10.7,0,48,6.1
12-05-2011,18.8,23.6,14.3,0,59,6.9
13-05-2011,20.6,27.1,13.9,0.25,53,6.3
14-05-2011,17.6,27.6,10.6,0,69,10.4
15-05-2011,14.4,22,6.2,3.56,48,15.6
16-05-2011,17,24.3,8.8,0,49,7.4
17-05-2011,17.8,25.4,10.1,0,57,7.8
18-05-2011,18.7,25,12.6,0,51,12.6
19-05-2011,15.2,19.1,11.3,3.3,70,8.1
20-05-2011,18.1,26,8.9,0,52,6.1
21-05-2011,20.3,27,11.6,0,46,6.3
22-05-2011,20.8,28,13.8,0.25,50,7.8
23-05-2011,21.6,30,12.1,0,46,6.3
24-05-2011,23.6,31.2,13.9,0,39,6.1
25-05-2011,24.1,32,14.6,0,33,7
26-05-2011,23.1,30.5,16,0,40,12
27-05-2011,18.8,25.7,14.7,1.02,77,7
28-05-2011,20.8,28.5,12.2,4.57,62,5.6
29-05-2011,22.4,29,15.4,2.29,53,11.9
30-05-2011,18.2,23,15,10.41,79,10.2
31-05-2011,18.4,24,12,7.62,65,12
01-06-2011,15.2,22,8.3,0,43,19.3
02-06-2011,16.1,22.3,8.6,0,48,16.1
03-06-2011,17.3,24,11,0,47,9.1
04-06-2011,18.2,25.3,11.3,0,53,6.7
05-06-2011,19.6,27,11.9,0,55,9.6
06-06-2011,16.2,20.1,13.7,3.05,87,5.4
07-06-2011,15.2,19.5,12,22.1,87,5.7
08-06-2011,17.6,23,11.1,7.87,55,9.3
09-06-2011,18.1,24.6,9.8,0,49,11.5
10-06-2011,18.8,25.2,10.5,0,49,5.7
11-06-2011,20.4,28,12.1,0,45,7
12-06-2011,23.1,31,12.6,0,37,10.9
13-06-2011,24.3,31,17.2,0,33,8.1
14-06-2011,24,31.3,13.9,0,32,8
15-06-2011,25.2,33,15.1,0,34,8.5
16-06-2011,24.9,31.3,16.4,0,36,9.3
17-06-2011,24.2,31,13.5,0,36,12.2
18-06-2011,23.5,30,16.3,0,30,10.9
19-06-2011,23.3,32.1,11.5,0,29,5.6
20-06-2011,26.6,35,15.7,0,34,8.5
21-06-2011,28.8,37,17.4,0,28,11.5
22-06-2011,26.7,34,16.2,0,27,14.3
23-06-2011,25.2,33,13.8,0,26,7.6
24-06-2011,25.3,34,15.8,0,35,7.2
25-06-2011,28.4,36,17.5,0,29,5.7
26-06-2011,30.6,38,20.7,0,29,6.5
27-06-2011,30.9,38,21.1,0,26,10.9
28-06-2011,29.7,37,19.2,0,26,12.4
29-06-2011,26.7,35,18.8,0,36,11.9
30-06-2011,26.2,35,16.1,0,31,9.4
01-07-2011,27.4,35.1,17.1,0,30,10.9
02-07-2011,28.6,36,18.6,0,26,10.4
03-07-2011,26.3,32.1,19.3,0,24,15
04-07-2011,25.4,32,17.3,0,35,6.5
05-07-2011,27.2,35,16.8,0,27,12.2
06-07-2011,27.3,33,18.8,0,25,14.1
07-07-2011,24.3,31,14.7,0,25,13
08-07-2011,23.3,31,12.4,0,26,8.1
09-07-2011,26,33,16.2,0,30,10.9
10-07-2011,27.1,34,15.3,0,23,10
11-07-2011,26.6,36,14.4,0,22,10.2
12-07-2011,24.7,32,15.7,0,32,15.7
13-07-2011,20.4,25.8,14.9,0,43,21.9
14-07-2011,21.6,29,12.6,0,32,9.8
15-07-2011,25.1,33,14.9,0,29,8.1
16-07-2011,27.2,35,15.8,0,25,13.9
17-07-2011,26.2,31,20.6,0,30,15.6
18-07-2011,23.4,31,13.4,0,30,12.4
19-07-2011,23.6,28,18,0,33,21.9
20-07-2011,23.7,32,13.4,0,28,8.1
21-07-2011,25.8,35,15.5,0,26,9.8
22-07-2011,23.9,32.1,15.7,0,38,11.9
23-07-2011,24,32.2,15.4,0,30,13.1
24-07-2011,22.9,30,14.4,0,32,10.6
25-07-2011,24.8,32,15.8,0,36,5.7
26-07-2011,26.7,35,16.9,0,35,10.6
27-07-2011,25.4,33,17,0,31,11.7
28-07-2011,26.6,34,17.5,0,37,7.6
29-07-2011,28.1,35.3,18.3,0,28,12
30-07-2011,28.9,35.2,19.6,0,27,10
31-07-2011,28,35,18.6,0,28,10.4
01-08-2011,27.6,34,18.9,0,32,9.4
02-08-2011,23.9,28,18.2,0.51,46,16.5
